# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
      mg   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
    1500     1100    1.570e-02      0.86543      0.00000      0.00000      0.00000      0.00000      0.00129      0.00000      0.00000      0.00162      0.00000      0.00000      0.00000      0.00499      0.00841      0.04447      0.02821      0.15841      0.00000      0.00000      0.00000      0.00000      0.05539      0.08893      0.04365      0.19061      0.00415      0.00000      0.00000      0.00157      0.00000      0.00000      0.00000      0.00133      0.02236      0.02755      0.01462      0.03546      0.00000      0.00043      0.00000      0.00000      0.00000      0.00000      0.00000      0.00149      0.00639      0.03363      0.01712      0.04249      0.03086      0.62598      0.20859      0.29301      0.54156      0.83457      0.03086 
    1500     1200    1.570e-02      0.49595      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00079      0.00823      0.00000      0.00000      0.00000      0.00000      0.01807      0.03739      0.02643      0.13048      0.00000      0.00000      0.00000      0.00000      0.01606      0.02818      0.02092      0.09910      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00519      0.00075      0.00739      0.00151      0.01695      0.00129      0.00000      0.00000      0.00066      0.00097      0.00000      0.00000      0.00141      0.00300      0.01026      0.00832      0.03742      0.01520      0.38564      0.09511      0.12336      0.35739      0.48075      0.01520 
    1500     1300    1.570e-02      0.29682      0.00000      0.00000      0.00000      0.00103      0.00000      0.00175      0.00685      0.02228      0.00000      0.00000      0.00000      0.00000      0.00099      0.03301      0.00515      0.05436      0.00000      0.00051      0.00000      0.00000      0.00755      0.00410      0.00793      0.06478      0.00000      0.00000      0.00000      0.00049      0.00000      0.00000      0.00000      0.00073      0.00076      0.00825      0.00105      0.00421      0.00000      0.00210      0.00000      0.00438      0.00000      0.00000      0.00000      0.00000      0.00746      0.00800      0.00386      0.03052      0.01471      0.21028      0.07182      0.07449      0.20762      0.28210      0.01471 
    1600        1    8.870e-03      0.00901      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00282      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00518      0.00034      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00018      0.00000      0.00048      0.00000      0.00000      0.00282      0.00619      0.00853      0.00048      0.00901      0.00000 
    1600       25    8.870e-03      2.59608      0.00000      0.00000      0.00000      0.00000      0.01435      0.00000      0.01225      0.00000      0.00000      0.00000      0.00000      0.00000      0.16748      0.01480      0.02876      0.00000      0.00000      0.00000      0.00000      0.00000      1.21249      0.01218      0.19066      0.00462      0.00666      0.00000      0.00000      0.00000      0.00226      0.00000      0.00000      0.00000      0.27339      0.01750      0.02328      0.00069      0.00783      0.00000      0.00000      0.00000      0.00150      0.00000      0.00000      0.00000      0.36191      0.01479      0.08334      0.00003      0.14532      1.65758      0.79318      2.10713      0.34363      2.45076      0.14532 
    1600       50    8.870e-03      5.09635      0.00000      0.00000      0.00000      0.00000      0.01419      0.00000      0.00124      0.00000      0.00000      0.00000      0.00000      0.00000      0.26515      0.00000      0.04863      0.00245      0.00123      0.00000      0.00000      0.00000      2.35813      0.04687      0.42530      0.00265      0.00701      0.00000      0.00000      0.00000      0.00130      0.00000      0.00000      0.00000      0.48731      0.00216      0.11158      0.00500      0.00163      0.00000      0.00000      0.00000      0.00597      0.00000      0.00067      0.00000      0.67145      0.02335      0.14722      0.00293      0.46292      3.16584      1.46760      3.88577      0.74767      4.63343      0.46292 
    1600       75    8.870e-03      6.64297      0.00000      0.00000      0.00000      0.00000      0.01522      0.00000      0.00702      0.00000      0.00000      0.00000      0.00169      0.00000      0.32446      0.01337      0.05763      0.00000      0.00105      0.00000      0.00017      0.00000      2.98463      0.02722      0.69657      0.01434      0.00103      0.00000      0.00000      0.00000      0.00070      0.00000      0.00082      0.00000      0.51910      0.00000      0.09695      0.00121      0.00170      0.00000      0.00088      0.00000      0.00451      0.00000      0.00343      0.00000      0.95006      0.00239      0.16146      0.00666      0.74867      4.14339      1.75091      4.84545      1.04885      5.89430      0.74867 
    1600      150    8.870e-03      7.65444      0.00000      0.00000      0.00000      0.00000      0.00737      0.00366      0.00000      0.00000      0.00277      0.00000      0.00000      0.00000      0.26686      0.00058      0.08826      0.00125      0.00509      0.00000      0.00000      0.00000      3.47803      0.01749      0.91574      0.04620      0.00484      0.00000      0.00491      0.00000      0.00826      0.00000      0.00114      0.00000      0.54308      0.00055      0.17871      0.00496      0.00035      0.00000      0.00128      0.00000      0.00384      0.00000      0.00067      0.00000      0.90308      0.00112      0.32373      0.02087      0.81974      4.83331      2.00138      5.24696      1.58773      6.83469      0.81974 
    1600      200    8.870e-03      7.07552      0.00000      0.00000      0.00000      0.00000      0.00880      0.00000      0.00441      0.00000      0.00000      0.00000      0.00000      0.00000      0.23039      0.02171      0.11036      0.01170      0.00000      0.00000      0.00000      0.00000      2.79968      0.04152      1.11392      0.04644      0.00000      0.00000      0.00000      0.00000      0.00858      0.00000      0.00254      0.00000      0.48449      0.01641      0.18578      0.01523      0.00121      0.00000      0.00081      0.00000      0.00438      0.00000      0.00000      0.00000      0.85439      0.00507      0.31065      0.03352      0.76353      4.38892      1.92307      4.47663      1.83536      6.31199      0.76353 
    1600      400    8.870e-03      5.05548      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00239      0.00000      0.00000      0.00000      0.00000      0.00000      0.06997      0.01793      0.09763      0.02332      0.00000      0.00000      0.00000      0.00000      1.57900      0.19238      1.00805      0.32467      0.00000      0.00000      0.00734      0.00000      0.00057      0.00000      0.00000      0.00000      0.28187      0.05656      0.17692      0.02841      0.00615      0.00000      0.00000      0.00000      0.00000      0.00094      0.00048      0.00528      0.38875      0.05455      0.28700      0.08228      0.36307      3.31533      1.37709      2.64866      2.04375      4.69241      0.36307 
    1600      600    8.870e-03      3.27397      0.00000      0.00000      0.00000      0.00000      0.00050      0.00000      0.00071      0.00391      0.00000      0.00000      0.00000      0.00000      0.03593      0.04590      0.05060      0.04867      0.00000      0.00000      0.00000      0.00000      0.75376      0.26868      0.65793      0.46926      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00091      0.10658      0.05242      0.12023      0.05679      0.00000      0.00000      0.00000      0.00314      0.00185      0.00000      0.00000      0.00261      0.13982      0.05401      0.12483      0.15646      0.11846      2.33585      0.81966      1.45944      1.69607      3.15551      0.11846 
