msbottom   mchi10            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     900      250     0.00051876     0.00025738     0.00036890     0.00056788     0.00089593     0.00136958
     900      300     0.00062865     0.00031845     0.00045452     0.00069684     0.00109680     0.00167184
     900      350     0.00081356     0.00040855     0.00058276     0.00089359     0.00140340     0.00213251
     900      400     0.00088872     0.00045372     0.00065426     0.00101092     0.00160671     0.00246620
     900      450     0.00109813     0.00055781     0.00081136     0.00126338     0.00201878     0.00313003
     900      500     0.00124719     0.00060833     0.00088724     0.00140295     0.00227546     0.00353527
     900      550     0.00161534     0.00079045     0.00116472     0.00185637     0.00305552     0.00481608
     900      600     0.00202017     0.00101009     0.00148045     0.00234964     0.00386694     0.00606918
     900      650     0.00369629     0.00173018     0.00252346     0.00399036     0.00650356     0.01024089
     900      700     0.00914809     0.00424929     0.00613726     0.00962146     0.01568165     0.02490680
     900      717     0.01016941     0.00488233     0.00715906     0.01136680     0.01870294     0.02972401
     900      733     0.00977293     0.00479854     0.00703450     0.01116308     0.01828133     0.02892520
     900      750     0.00882461     0.00477685     0.00693901     0.01092810     0.01789225     0.02830914
     900      800     0.00949875     0.00614785     0.00892664     0.01405742     0.02312936     0.03676905
     950       50     0.00045964     0.00023458     0.00033789     0.00052223     0.00083460     0.00128776
     950      100     0.00033485     0.00016285     0.00023807     0.00037229     0.00060087     0.00093710
     950      150     0.00036012     0.00017710     0.00025626     0.00039753     0.00064161     0.00099181
     950      200     0.00041544     0.00020263     0.00029066     0.00044730     0.00071477     0.00109289
     950      250     0.00050534     0.00025231     0.00036154     0.00055661     0.00088047     0.00134360
     950      300     0.00059909     0.00030235     0.00042937     0.00065585     0.00102958     0.00156488
     950      350     0.00069530     0.00035094     0.00050085     0.00076773     0.00121163     0.00185231
     950      400     0.00080210     0.00040561     0.00058403     0.00090284     0.00144239     0.00220539
     950      450     0.00093033     0.00046245     0.00066897     0.00103798     0.00165888     0.00258311
     950      500     0.00107197     0.00053258     0.00077458     0.00120660     0.00194709     0.00300969
     950      550     0.00128084     0.00064367     0.00094405     0.00149800     0.00244206     0.00382953
     950      600     0.00161996     0.00077127     0.00113606     0.00181055     0.00297936     0.00473482
     950      650     0.00226027     0.00106190     0.00155233     0.00242659     0.00395333     0.00617309
     950      700     0.00422730     0.00187017     0.00268869     0.00419881     0.00677612     0.01066151
     950      750     0.00695069     0.00307810     0.00449342     0.00710264     0.01157435     0.01838611
     950      767     0.00989349     0.00505719     0.00742883     0.01197449     0.01999623     0.03219161
     950      783     0.00958375     0.00440912     0.00649958     0.01034928     0.01720217     0.02790477
     950      800     0.00748506     0.00391994     0.00570250     0.00911555     0.01500391     0.02394204
     950      850     0.01036791     0.00559398     0.00820061     0.01301358     0.02141920     0.03404228
    1000       50     0.00046603     0.00023731     0.00034193     0.00052830     0.00084821     0.00131592
    1000      100     0.00033790     0.00016555     0.00024204     0.00037852     0.00061070     0.00095251
    1000      150     0.00034715     0.00016997     0.00024721     0.00038498     0.00062110     0.00096016
    1000      200     0.00038532     0.00018728     0.00027111     0.00042070     0.00067201     0.00103714
    1000      250     0.00045955     0.00022934     0.00032887     0.00050615     0.00080279     0.00122858
    1000      300     0.00056587     0.00028407     0.00040537     0.00062155     0.00098318     0.00150019
    1000      350     0.00062494     0.00031945     0.00045574     0.00069863     0.00110251     0.00168524
    1000      400     0.00071225     0.00035912     0.00051455     0.00079211     0.00125968     0.00193308
    1000      450     0.00084942     0.00043064     0.00062046     0.00095856     0.00153216     0.00235311
    1000      500     0.00091554     0.00045741     0.00066858     0.00104511     0.00168649     0.00261850
    1000      550     0.00107953     0.00052969     0.00077630     0.00123210     0.00200840     0.00313591
    1000      600     0.00117754     0.00059885     0.00088345     0.00140759     0.00231594     0.00368084
    1000      650     0.00166261     0.00083784     0.00124124     0.00198598     0.00328438     0.00519850
    1000      700     0.00212978     0.00104617     0.00154234     0.00245744     0.00408169     0.00649232
    1000      750     0.00438783     0.00195528     0.00281129     0.00439091     0.00708519     0.01105117
    1000      800     0.00729054     0.00387654     0.00562392     0.00885437     0.01443424     0.02282606
    1000      817     0.01148026     0.00554185     0.00825825     0.01326476     0.02224672     0.03623519
    1000      833     0.01018432     0.00482514     0.00710185     0.01143979     0.01900073     0.03021567
    1000      850     0.01030194     0.00493009     0.00723610     0.01147704     0.01888984     0.03026969
    1000      900     0.00713414     0.00437062     0.00648790     0.01054391     0.01769506     0.02880867
    1050       50     0.00051878     0.00025856     0.00037070     0.00057082     0.00091200     0.00140744
    1050      100     0.00033045     0.00016290     0.00023706     0.00036921     0.00059570     0.00092503
    1050      150     0.00033935     0.00016432     0.00024016     0.00037551     0.00060584     0.00093658
    1050      200     0.00040108     0.00019429     0.00028140     0.00043649     0.00069744     0.00106633
    1050      250     0.00045894     0.00022378     0.00032100     0.00049398     0.00078344     0.00119881
    1050      300     0.00048694     0.00024590     0.00035102     0.00053811     0.00084930     0.00129827
    1050      350     0.00059433     0.00029887     0.00042457     0.00064864     0.00102355     0.00154991
    1050      400     0.00067596     0.00034245     0.00048890     0.00074974     0.00118573     0.00180952
    1050      450     0.00081614     0.00040834     0.00058527     0.00090083     0.00143917     0.00220083
    1050      500     0.00080939     0.00040370     0.00058997     0.00092274     0.00148885     0.00230088
    1050      550     0.00096054     0.00047778     0.00070174     0.00110156     0.00179583     0.00280366
    1050      600     0.00103700     0.00053191     0.00077999     0.00123815     0.00201813     0.00317917
    1050      650     0.00128436     0.00064338     0.00094952     0.00151277     0.00248860     0.00395592
    1050      700     0.00145039     0.00072519     0.00107232     0.00173428     0.00288194     0.00460142
    1050      750     0.00235147     0.00109381     0.00161303     0.00256839     0.00422757     0.00666442
    1050      800     0.00327090     0.00160519     0.00235618     0.00373715     0.00615028     0.00969167
    1050      850     0.00753662     0.00365918     0.00533470     0.00842895     0.01387920     0.02205779
    1050      867     0.01111191     0.00504384     0.00748846     0.01217479     0.02061984     0.03355796
    1050      883     0.00945778     0.00509057     0.00732390     0.01143795     0.01845443     0.02903340
    1050      900     0.00820845     0.00443321     0.00650420     0.01032259     0.01698859     0.02722489
    1050      950     0.00804312     0.00440564     0.00665742     0.01095763     0.01872963     0.03092988
    1100       50     0.00054135     0.00027399     0.00039274     0.00060459     0.00096615     0.00149113
    1100      100     0.00032062     0.00015851     0.00022908     0.00035912     0.00057959     0.00089975
    1100      150     0.00032807     0.00015691     0.00022799     0.00035881     0.00058181     0.00090405
    1100      200     0.00035691     0.00017396     0.00025196     0.00039082     0.00062446     0.00096357
    1100      250     0.00041982     0.00020803     0.00029826     0.00045889     0.00073335     0.00112144
    1100      300     0.00050298     0.00024928     0.00035755     0.00055023     0.00087284     0.00132931
    1100      350     0.00055636     0.00028090     0.00040075     0.00061442     0.00096969     0.00148257
    1100      400     0.00061716     0.00031667     0.00045397     0.00069840     0.00110492     0.00168614
    1100      450     0.00071142     0.00036164     0.00051855     0.00079805     0.00125940     0.00192506
    1100      500     0.00076313     0.00038664     0.00056234     0.00087548     0.00140554     0.00218122
    1100      550     0.00090542     0.00045763     0.00066413     0.00104536     0.00168679     0.00263079
    1100      600     0.00099175     0.00048357     0.00071205     0.00113456     0.00185843     0.00291617
    1100      650     0.00113714     0.00056002     0.00082463     0.00131393     0.00216250     0.00340914
    1100      700     0.00136149     0.00065585     0.00097163     0.00155339     0.00256995     0.00406747
    1100      750     0.00151111     0.00077568     0.00114417     0.00182231     0.00299899     0.00472531
    1100      800     0.00235738     0.00108963     0.00160511     0.00255854     0.00420976     0.00669077
    1100      850     0.00343249     0.00166404     0.00244059     0.00387297     0.00637230     0.01004298
    1100      900     0.00804540     0.00402270     0.00582431     0.00903494     0.01457959     0.02293691
    1100      917     0.01152565     0.00543977     0.00796166     0.01277617     0.02142561     0.03488957
    1100      933     0.00916537     0.00441902     0.00651600     0.01039287     0.01726689     0.02766999
    1100      950     0.00750481     0.00364921     0.00537532     0.00865867     0.01438108     0.02305851
    1100     1000     0.00938523     0.00545884     0.00817584     0.01318737     0.02211701     0.03574341
    1150       50     0.00057649     0.00029274     0.00041975     0.00064611     0.00102713     0.00158380
    1150      100     0.00033198     0.00016533     0.00023890     0.00037464     0.00060444     0.00094271
    1150      150     0.00032161     0.00015699     0.00022682     0.00035565     0.00057404     0.00089533
    1150      200     0.00035267     0.00017174     0.00024697     0.00038569     0.00061615     0.00095095
    1150      250     0.00040114     0.00019446     0.00028146     0.00043662     0.00069763     0.00107652
    1150      300     0.00048144     0.00023514     0.00033543     0.00051431     0.00081371     0.00124184
    1150      350     0.00054050     0.00026677     0.00038096     0.00058406     0.00092146     0.00140861
    1150      400     0.00062694     0.00031940     0.00045783     0.00070470     0.00111789     0.00170264
    1150      450     0.00065738     0.00032594     0.00047198     0.00073218     0.00117030     0.00179777
    1150      500     0.00076184     0.00038248     0.00055114     0.00085162     0.00136072     0.00209972
    1150      550     0.00077564     0.00039294     0.00057165     0.00088998     0.00143696     0.00222103
    1150      600     0.00089334     0.00044135     0.00065179     0.00102763     0.00167450     0.00261452
    1150      650     0.00097397     0.00048652     0.00071673     0.00114266     0.00187990     0.00296291
    1150      700     0.00097084     0.00049366     0.00073546     0.00118058     0.00196183     0.00314515
