   mstop     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
     850      765     0.00033929     0.00016155     0.00024749     0.00041759     0.00072718     0.00120597
     900       50     0.00395469     0.00173323     0.00248491     0.00382450     0.00614157     0.00961413
     900      100     0.00248106     0.00116337     0.00163697     0.00248106     0.00389587     0.00597717
     900      150     0.00120587     0.00063382     0.00089626     0.00136386     0.00215717     0.00332298
     900      200     0.00077352     0.00040825     0.00058541     0.00090112     0.00143998     0.00223239
     900      250     0.00059259     0.00028931     0.00042655     0.00067980     0.00110775     0.00174479
     900      300     0.00044149     0.00021610     0.00033255     0.00054758     0.00091870     0.00147271
     900      350     0.00033598     0.00016557     0.00025547     0.00042406     0.00071827     0.00116049
     900      400     0.00029767     0.00014309     0.00022416     0.00037360     0.00063890     0.00103911
     900      450     0.00025884     0.00012162     0.00019138     0.00032450     0.00056494     0.00092701
     900      500     0.00022981     0.00011033     0.00017344     0.00029413     0.00051214     0.00084338
     900      550     0.00022890     0.00010927     0.00017185     0.00029148     0.00050762     0.00084194
     900      600     0.00023127     0.00011474     0.00017703     0.00029981     0.00052214     0.00086576
     900      650     0.00026814     0.00012913     0.00020046     0.00034130     0.00059663     0.00099609
     900      700     0.00032774     0.00015427     0.00023889     0.00040682     0.00071178     0.00118369
     900      717     0.00034839     0.00016586     0.00025750     0.00043813     0.00077024     0.00128411
     900      733     0.00035471     0.00017094     0.00026365     0.00044659     0.00078474     0.00130459
     900      750     0.00038259     0.00018896     0.00029227     0.00048901     0.00085188     0.00140838
     900      800     0.00057125     0.00026512     0.00041430     0.00070770     0.00124925     0.00210259
     900      815     0.00032117     0.00015602     0.00024077     0.00040331     0.00070232     0.00117299
     950       50     0.00485848     0.00227247     0.00322709     0.00492858     0.00787528     0.01237689
     950      100     0.00209632     0.00101568     0.00143539     0.00218444     0.00345601     0.00532298
     950      150     0.00108441     0.00055103     0.00077895     0.00118529     0.00187502     0.00288819
     950      200     0.00085540     0.00045764     0.00065020     0.00099320     0.00157510     0.00242177
     950      250     0.00056151     0.00029609     0.00043721     0.00068907     0.00112303     0.00175347
     950      300     0.00047061     0.00023781     0.00035250     0.00056394     0.00092355     0.00146113
     950      350     0.00039450     0.00019036     0.00029319     0.00048264     0.00081348     0.00130928
     950      400     0.00028487     0.00013947     0.00021557     0.00036041     0.00061643     0.00099494
     950      450     0.00026233     0.00012920     0.00019955     0.00033380     0.00057090     0.00092852
     950      500     0.00024038     0.00011259     0.00017841     0.00030371     0.00052889     0.00087096
     950      550     0.00022283     0.00010655     0.00016685     0.00028377     0.00049666     0.00082020
     950      600     0.00021080     0.00009987     0.00015680     0.00026910     0.00047312     0.00078357
     950      650     0.00022378     0.00010445     0.00016298     0.00027853     0.00048919     0.00081591
     950      700     0.00022839     0.00011186     0.00017230     0.00029226     0.00051099     0.00084998
     950      750     0.00029903     0.00014991     0.00022844     0.00038351     0.00066786     0.00110372
     950      767     0.00034143     0.00016755     0.00025785     0.00043332     0.00075455     0.00125124
     950      783     0.00037094     0.00017886     0.00027534     0.00046698     0.00082030     0.00136349
     950      800     0.00035770     0.00017688     0.00027339     0.00045776     0.00079733     0.00132245
