      mg     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    2200     1500     0.00217392     0.00102917     0.00158175     0.00263626     0.00459168     0.00766810
    2200     1600     0.00225657     0.00105884     0.00162257     0.00273697     0.00480889     0.00818476
    2200     1700     0.00321042     0.00149675     0.00228200     0.00383515     0.00667680     0.01123212
    2200     1800     0.00475381     0.00220775     0.00329942     0.00538161     0.00920070     0.01518917
    2200     1900     0.00737751     0.00302465     0.00447122     0.00723285     0.01225202     0.02009418
    2200     2000     0.01452023     0.00676199     0.01018657     0.01696102     0.02994952     0.05141854
    2300       25     0.00258616     0.00137679     0.00192921     0.00291337     0.00457402     0.00701740
    2300       50     0.00111707     0.00060116     0.00084234     0.00127219     0.00198704     0.00303029
    2300       75     0.00077563     0.00041569     0.00058239     0.00087935     0.00138081     0.00210820
    2300      150     0.00056517     0.00029723     0.00041829     0.00063420     0.00099554     0.00152035
    2300     1300     0.00145309     0.00071948     0.00109865     0.00182284     0.00315935     0.00524478
    2300     1400     0.00165850     0.00079532     0.00122036     0.00205854     0.00360036     0.00605060
    2300     1500     0.00186916     0.00089632     0.00136635     0.00229546     0.00403345     0.00677161
    2300     1600     0.00256765     0.00123037     0.00188995     0.00314931     0.00548502     0.00922687
    2300     1700     0.00291483     0.00137570     0.00209976     0.00348580     0.00606964     0.01010158
    2300     1800     0.00299679     0.00138298     0.00210847     0.00354297     0.00619762     0.01044960
    2300     1900     0.00529463     0.00214299     0.00321609     0.00527208     0.00901022     0.01487847
    2300     2000     0.00867080     0.00343757     0.00511419     0.00830869     0.01406773     0.02324945
    2300     2100     0.01486768     0.00732929     0.01071686     0.01720971     0.02886756     0.04737374
    2400        1     1.69096354     0.62726769     1.06943146     2.19986900     4.42685181     6.67156289
    2400       25     0.00272499     0.00145511     0.00203844     0.00307794     0.00481964     0.00733728
    2400       50     0.00108773     0.00058860     0.00082679     0.00124503     0.00194956     0.00296795
    2400       75     0.00077348     0.00040556     0.00057056     0.00086511     0.00135816     0.00206409
    2400      150     0.00056529     0.00029965     0.00042163     0.00063925     0.00100350     0.00153245
    2400      200     0.00056380     0.00028609     0.00040274     0.00061049     0.00095605     0.00145562
    2400      400     0.00073223     0.00037683     0.00052556     0.00079072     0.00122259     0.00184606
    2400      600     0.00104786     0.00053442     0.00075703     0.00114014     0.00177209     0.00268612
