msbottom     mchi            obs     exp-2sigma     exp-1sigma            exp     exp+1sigma     exp+2sigma
    1100      600     0.00026132     0.00013324     0.00020456     0.00034084     0.00058820     0.00096303
    1100      650     0.00026073     0.00013137     0.00020295     0.00033979     0.00058615     0.00096647
    1100      700     0.00025099     0.00012521     0.00019477     0.00032708     0.00056984     0.00093837
    1100      750     0.00026426     0.00013589     0.00020848     0.00034758     0.00059969     0.00098875
    1100      800     0.00031095     0.00015614     0.00023800     0.00039948     0.00068953     0.00114150
    1100      850     0.00038244     0.00019450     0.00029721     0.00049335     0.00085175     0.00140411
    1100      900     0.00070501     0.00034677     0.00053614     0.00089684     0.00156168     0.00259870
    1100      917     0.00093117     0.00046867     0.00071287     0.00119880     0.00208680     0.00346197
    1100      933     0.00081767     0.00041165     0.00063322     0.00105499     0.00181980     0.00300075
    1100      950     0.00084247     0.00043545     0.00066028     0.00109185     0.00186583     0.00303521
    1100     1000     0.00100827     0.00053253     0.00079951     0.00131075     0.00221961     0.00361272
    1150       50     0.01047432     0.00544725     0.00759688     0.01143096     0.01785361     0.02723248
    1150      100     0.00414991     0.00210612     0.00295659     0.00442152     0.00688831     0.01052319
    1150      150     0.00225282     0.00120995     0.00168699     0.00253855     0.00396483     0.00604652
    1150      200     0.00156362     0.00083251     0.00116609     0.00176123     0.00275103     0.00419539
    1150      250     0.00100915     0.00055196     0.00079112     0.00121786     0.00194661     0.00300388
    1150      300     0.00076897     0.00041082     0.00060055     0.00093865     0.00151496     0.00236251
    1150      350     0.00060938     0.00032543     0.00047929     0.00076410     0.00125117     0.00196298
    1150      400     0.00049841     0.00025891     0.00038955     0.00063805     0.00106499     0.00170067
    1150      450     0.00040209     0.00020413     0.00030994     0.00051231     0.00086369     0.00138967
    1150      500     0.00034715     0.00017784     0.00027181     0.00045121     0.00076768     0.00124452
    1150      550     0.00031591     0.00016054     0.00024686     0.00041120     0.00070329     0.00114383
    1150      600     0.00027520     0.00013674     0.00021242     0.00035690     0.00061289     0.00100792
    1150      650     0.00026830     0.00013533     0.00020907     0.00035003     0.00060382     0.00099560
    1150      700     0.00024939     0.00012443     0.00019343     0.00032492     0.00056073     0.00092477
    1150      750     0.00025373     0.00012435     0.00019310     0.00032471     0.00056280     0.00092775
    1150      800     0.00027141     0.00013747     0.00020957     0.00035199     0.00060750     0.00100896
    1150      850     0.00028732     0.00014630     0.00022474     0.00037457     0.00064603     0.00106555
    1150      900     0.00035491     0.00017982     0.00027618     0.00045987     0.00079370     0.00131853
    1150      950     0.00064982     0.00032451     0.00049881     0.00083135     0.00143458     0.00238320
    1150      967     0.00089406     0.00045345     0.00069624     0.00115996     0.00201163     0.00332703
    1150      983     0.00080947     0.00041345     0.00063512     0.00105854     0.00182567     0.00301123
    1150     1000     0.00075900     0.00038963     0.00059100     0.00097705     0.00167887     0.00275005
    1150     1050     0.00088811     0.00045979     0.00069812     0.00115229     0.00196171     0.00320394
    1200       50     0.01301482     0.00700267     0.00985441     0.01493595     0.02362939     0.03640004
    1200      100     0.00375818     0.00208092     0.00288997     0.00433234     0.00671600     0.01019753
    1200      150     0.00239684     0.00127459     0.00177827     0.00267490     0.00416761     0.00636714
    1200      200     0.00168830     0.00089989     0.00126046     0.00190377     0.00298114     0.00453804
    1200      250     0.00111215     0.00061119     0.00086856     0.00132622     0.00209833     0.00323214
    1200      300     0.00085848     0.00046386     0.00066834     0.00103263     0.00164975     0.00254593
    1200      350     0.00068440     0.00035247     0.00052280     0.00083596     0.00136924     0.00215716
    1200      400     0.00054188     0.00027936     0.00041839     0.00067443     0.00112088     0.00176811
    1200      450     0.00044075     0.00021859     0.00033235     0.00054871     0.00092969     0.00149000
    1200      500     0.00036569     0.00018325     0.00027993     0.00046399     0.00078963     0.00128031
    1200      550     0.00033481     0.00016758     0.00025709     0.00042849     0.00073277     0.00119179
    1200      600     0.00027163     0.00013894     0.00021362     0.00035583     0.00061408     0.00100174
