# Percent efficiencies for sum of all SR bins, each SR bin, SR bin groups:
   msbot   mchi10    xsec (pb)      all SRs          SR1          SR2          SR3          SR4          SR5          SR6          SR7          SR8          SR9         SR10         SR11         SR12         SR13         SR14         SR15         SR16         SR17         SR18         SR19         SR20         SR21         SR22         SR23         SR24         SR25         SR26         SR27         SR28         SR29         SR30         SR31         SR32         SR33         SR34         SR35         SR36         SR37         SR38         SR39         SR40         SR41         SR42         SR43         SR44         SR45         SR46         SR47         SR48         SR49    hadronSRs    leptonSRs     shortSRs      longSRs      1DTkSRs  multiDTkSRs 
     500      350    6.090e-01      0.62959      0.01122      0.00227      0.00579      0.00563      0.01841      0.01665      0.02098      0.04543      0.00353      0.00165      0.00261      0.00275      0.05700      0.02830      0.05264      0.05217      0.00253      0.00000      0.00350      0.00221      0.04742      0.02129      0.04011      0.03188      0.00000      0.00122      0.00034      0.00206      0.00000      0.00000      0.00000      0.00234      0.02125      0.00177      0.00745      0.01399      0.00172      0.00253      0.00233      0.00308      0.00070      0.00064      0.00144      0.00048      0.01165      0.01420      0.01572      0.01402      0.03467      0.47599      0.11893      0.26597      0.32895      0.59492      0.03467 
     500      400    6.090e-01      0.43501      0.00169      0.00170      0.01027      0.00396      0.02300      0.01639      0.04107      0.05061      0.00236      0.00102      0.00041      0.00197      0.01354      0.00517      0.01271      0.00755      0.00113      0.00487      0.00522      0.00725      0.03728      0.01461      0.03161      0.03740      0.00159      0.00000      0.00194      0.00065      0.00000      0.00000      0.00000      0.00000      0.00805      0.00421      0.00577      0.00694      0.00000      0.00000      0.00206      0.00309      0.00000      0.00000      0.00000      0.00000      0.01206      0.00355      0.00785      0.01518      0.02928      0.33279      0.07294      0.15223      0.25350      0.40573      0.02928 
     500      415    6.090e-01      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000 
     550        1    3.470e-01      0.00959      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00108      0.00000      0.00000      0.00000      0.00153      0.00000      0.00000      0.00000      0.00212      0.00000      0.00000      0.00049      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00199      0.00107      0.00022      0.00000      0.00000      0.00108      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00522      0.00437      0.00887      0.00072      0.00959      0.00000 
     550       50    3.470e-01      9.08879      0.01877      0.00000      0.00350      0.00000      0.21316      0.00153      0.08062      0.00000      0.02974      0.00351      0.01080      0.00000      1.46835      0.01614      0.42890      0.00396      0.05228      0.00000      0.00808      0.00000      2.31797      0.01556      0.62847      0.00478      0.00524      0.00000      0.00000      0.00000      0.00949      0.00000      0.00061      0.00000      0.33911      0.00569      0.09409      0.00051      0.00363      0.00167      0.00319      0.00000      0.00779      0.00000      0.00237      0.00000      0.53884      0.00133      0.13708      0.00042      2.63161      5.30611      1.15106      5.04979      1.40739      6.45718      2.63161 
     550      100    3.470e-01      8.62149      0.01253      0.00000      0.00591      0.00000      0.21228      0.00234      0.08431      0.00365      0.03436      0.00072      0.01564      0.00000      1.25495      0.02468      0.56866      0.03583      0.03418      0.00000      0.01956      0.00000      2.09301      0.02756      0.86915      0.03038      0.00414      0.00080      0.00217      0.00026      0.00984      0.00000      0.00507      0.00130      0.28317      0.00375      0.12848      0.01077      0.00515      0.00061      0.00324      0.00000      0.00679      0.00133      0.00331      0.00000      0.49985      0.00578      0.20877      0.00589      2.10130      5.32971      1.19047      4.51782      2.00236      6.52018      2.10130 
     550      150    3.470e-01      6.71947      0.00975      0.00115      0.01221      0.00049      0.15544      0.01163      0.08881      0.01823      0.02093      0.00143      0.01223      0.00399      0.94127      0.08497      0.63439      0.10745      0.01399      0.00431      0.01272      0.00110      1.46378      0.07599      0.77814      0.13070      0.00193      0.00000      0.00330      0.00000      0.00170      0.00000      0.00307      0.00078      0.18374      0.00957      0.11948      0.02250      0.00491      0.00000      0.00460      0.00112      0.00638      0.00000      0.00412      0.00126      0.32188      0.02248      0.19278      0.02603      1.20275      4.58509      0.93163      3.33722      2.17950      5.51672      1.20275 
     550      200    3.470e-01      4.87216      0.00561      0.00038      0.00407      0.00187      0.09818      0.01561      0.08772      0.03713      0.01510      0.00357      0.01291      0.00311      0.64551      0.11938      0.49080      0.23592      0.01836      0.00000      0.01388      0.00075      0.80336      0.07375      0.57722      0.16427      0.00142      0.00000      0.00341      0.00000      0.00434      0.00069      0.00169      0.00737      0.11282      0.01478      0.10138      0.03959      0.00306      0.00000      0.00311      0.00080      0.00556      0.00000      0.00358      0.00339      0.24914      0.02882      0.15969      0.04460      0.65446      3.42846      0.78924      2.21945      1.99824      4.21769      0.65446 
     550      250    3.470e-01      3.13782      0.00342      0.00140      0.00697      0.00234      0.05146      0.01772      0.05512      0.05481      0.00332      0.00220      0.00653      0.00463      0.37131      0.10664      0.38424      0.26283      0.00503      0.00125      0.00260      0.00076      0.42400      0.06114      0.31503      0.16098      0.00000      0.00119      0.00053      0.00000      0.00036      0.00186      0.00173      0.00159      0.07031      0.01861      0.06587      0.02552      0.00120      0.00001      0.00081      0.00125      0.00546      0.00092      0.00191      0.00139      0.12367      0.02812      0.09740      0.05715      0.32525      2.30572      0.50685      1.30059      1.51198      2.81257      0.32525 
     550      300    3.470e-01      1.81663      0.00210      0.00000      0.00261      0.00148      0.02751      0.01799      0.04869      0.04058      0.00688      0.00189      0.00252      0.00550      0.19966      0.10314      0.23639      0.24614      0.00181      0.00257      0.00160      0.00126      0.16865      0.04270      0.12455      0.05378      0.00000      0.00000      0.00047      0.00000      0.00276      0.00035      0.00000      0.00192      0.04115      0.02135      0.04254      0.02422      0.00075      0.00000      0.00148      0.00124      0.00350      0.00000      0.00354      0.00138      0.04973      0.02197      0.05328      0.04589      0.15912      1.34001      0.31750      0.71645      0.94106      1.65751      0.15912 
